missionID,doomName,doomName_en,DoomIcon_path,missionTheme,missionTitle_en,missionName,missionDescription,missionObjective,missionDifficulty,missionGimmick,missionGimmick_desc,enemyTotalCount,enemyList_ID,missionType
0,오염의 역병,Plague of Contamination,res_icon_dooms/icon_doom_PlagueofContamination,식수원 정화,Water Source Purification,기초 방어전,버민킨들이 드워프 거점의 생명줄인 지하 식수원에 오물과 역병 사체를 던져 넣고 있습니다. 정화 장치가 작동을 멈추기 전에 밀려오는 적들을 막아내야 합니다.,오염된 정화 장치를 지키며 적 공세 방어,쉬움,독기,매 턴 종료 시 모든 아군 유닛 HP -5% (난이도에 따라 수치 변동 가능),12,100/100/100/100/100/100/100/100/100/101/101/105,Defense
1,오염의 역병,Plague of Contamination,res_icon_dooms/icon_doom_PlagueofContamination,식수원 정화,Water Source Purification,역병의 침식,버민킨들이 드워프 거점의 생명줄인 지하 식수원에 오물과 역병 사체를 던져 넣고 있습니다. 정화 장치가 작동을 멈추기 전에 밀려오는 적들을 막아내야 합니다.,오염된 정화 장치를 지키며 적 공세 방어,보통,독기,매 턴 종료 시 모든 아군 유닛 HP -5% (난이도에 따라 수치 변동 가능),17,100/100/100/100/100/100/101/101/101/101/102/102/102/105/105/106/107,Defense
2,오염의 역병,Plague of Contamination,res_icon_dooms/icon_doom_PlagueofContamination,식수원 정화,Water Source Purification,절망의 오염,버민킨들이 드워프 거점의 생명줄인 지하 식수원에 오물과 역병 사체를 던져 넣고 있습니다. 정화 장치가 작동을 멈추기 전에 밀려오는 적들을 막아내야 합니다.,오염된 정화 장치를 지키며 적 공세 방어,어려움,독기,매 턴 종료 시 모든 아군 유닛 HP -5% (난이도에 따라 수치 변동 가능),23,100/100/100/100/102/102/102/102/102/104/105/105/105/105/105/106/106/106/106/106/107/107/107,Defense
3,차원석 변이,RiftStone Mutation,res_icon_dooms/icon_doom_RiftStoneMutation,변이된 광물 채굴,Mutated Mineral Mining,안전한 채굴 작업,에너지가 폭주하여 보라색으로 빛나는 변이 광물들이 발견되었습니다. 이 광물들은 불안정하지만 드워프의 장비를 공명시키는 귀한 자원입니다. 버민킨들이 몰려오기 전에 필요한 양을 채굴하여 철수하십시오.,폭주하는 원석을 채굴하여 탈출구로 운반,쉬움,마력 공명,채굴: 광물 인접 칸에서 유닛이 행동을 종료하면 채굴 진행도 상승 (2턴 소모 시 완료).  폭주: 광물을 운반 중인 유닛은 3턴마다 발생하는 [공간 왜곡 텔레포트]의 대상 1순위가 됨.,4,100/100/101/101,Extraction
4,차원석 변이,RiftStone Mutation,res_icon_dooms/icon_doom_RiftStoneMutation,변이된 광물 채굴,Mutated Mineral Mining,뒤틀린 광맥,에너지가 폭주하여 보라색으로 빛나는 변이 광물들이 발견되었습니다. 이 광물들은 불안정하지만 드워프의 장비를 공명시키는 귀한 자원입니다. 버민킨들이 몰려오기 전에 필요한 양을 채굴하여 철수하십시오.,폭주하는 원석을 채굴하여 탈출구로 운반,보통,마력 공명,채굴: 광물 인접 칸에서 유닛이 행동을 종료하면 채굴 진행도 상승 (2턴 소모 시 완료).  폭주: 광물을 운반 중인 유닛은 3턴마다 발생하는 [공간 왜곡 텔레포트]의 대상 1순위가 됨.,7,100/100/102/102/102/108/109,Extraction
5,차원석 변이,RiftStone Mutation,res_icon_dooms/icon_doom_RiftStoneMutation,변이된 광물 채굴,Mutated Mineral Mining,폭주하는 광산,에너지가 폭주하여 보라색으로 빛나는 변이 광물들이 발견되었습니다. 이 광물들은 불안정하지만 드워프의 장비를 공명시키는 귀한 자원입니다. 버민킨들이 몰려오기 전에 필요한 양을 채굴하여 철수하십시오.,폭주하는 원석을 채굴하여 탈출구로 운반,어려움,마력 공명,채굴: 광물 인접 칸에서 유닛이 행동을 종료하면 채굴 진행도 상승 (2턴 소모 시 완료).  폭주: 광물을 운반 중인 유닛은 3턴마다 발생하는 [공간 왜곡 텔레포트]의 대상 1순위가 됨.,6,108/108/109/109/110/110,Extraction
6,지하 터널,Subterranean Tunnels,res_icon_dooms/icon_doom_SubterraneanTunnels,암흑 구역 탐사,Dark Zone Exploration,희미한 등불,작전 배경: 버민킨들이 점거한 오래된 폐광 깊숙한 곳으로 들어가야 합니다. 등불 카트의 빛이 닿지 않는 곳에는 무엇이 도사리고 있을지 모릅니다. 카트를 밀며 안전하게 출구까지 도달하십시오.,등불 카트와 함께 어둠을 뚫고 출구 도달,쉬움,심연의 어둠,전장 효과: 모든 유닛의 기본 시야 -2칸. 시야 밖의 적은 타겟팅 불가(원거리 공격 불가).  기습 위험: 어둠 속에서 공격받을 경우  피격 아군 유닛은 1턴간 DEF -15% (기습 판정).,6,100/100/100/100/101/101,Explore
7,지하 터널,Subterranean Tunnels,res_icon_dooms/icon_doom_SubterraneanTunnels,암흑 구역 탐사,Dark Zone Exploration,벽 너머의 그림자,작전 배경: 버민킨들이 점거한 오래된 폐광 깊숙한 곳으로 들어가야 합니다. 등불 카트의 빛이 닿지 않는 곳에는 무엇이 도사리고 있을지 모릅니다. 카트를 밀며 안전하게 출구까지 도달하십시오.,등불 카트와 함께 어둠을 뚫고 출구 도달,보통,심연의 어둠,전장 효과: 모든 유닛의 기본 시야 -2칸. 시야 밖의 적은 타겟팅 불가(원거리 공격 불가).  기습 위험: 어둠 속에서 공격받을 경우  피격 아군 유닛은 1턴간 DEF -15% (기습 판정).,9,100/100/100/100/100/100/111/111/112,Explore
8,지하 터널,Subterranean Tunnels,res_icon_dooms/icon_doom_SubterraneanTunnels,암흑 구역 탐사,Dark Zone Exploration,삼켜진 불빛,작전 배경: 버민킨들이 점거한 오래된 폐광 깊숙한 곳으로 들어가야 합니다. 등불 카트의 빛이 닿지 않는 곳에는 무엇이 도사리고 있을지 모릅니다. 카트를 밀며 안전하게 출구까지 도달하십시오.,등불 카트와 함께 어둠을 뚫고 출구 도달,어려움,심연의 어둠,전장 효과: 모든 유닛의 기본 시야 -2칸. 시야 밖의 적은 타겟팅 불가(원거리 공격 불가).  기습 위험: 어둠 속에서 공격받을 경우  피격 아군 유닛은 1턴간 DEF -15% (기습 판정).,7,104/111/111/112/112/113/113,Explore
9,영혼 수확,Soul Harvest,res_icon_dooms/icon_doom_SoulHarvest,영혼 단지 파괴,Destruction of Soul Jars,부서지는 결계,작전 배경: 버민킨 사술사들이 드워프들의 생명력을 빨아들여 저장하는 '영혼 단지'를 배치했습니다. 이 단지들이 가득 차면 적들은 불사신이나 다름없게 됩니다. 단지들이 에너지를 모두 방출하기 전에 찾아내어 박살 내십시오.,적의 회복 수단인 마법 단지들 전멸,쉬움,영혼의 갈취,전장 효과: 모든 아군 유닛 회복 효율 -30% (포션  스킬 포함).  갈취: 4턴마다 무작위 아군 유닛 1명의 현재 HP 15%를 빼앗아  가장 체력이 낮은 적 유닛을 회복시킴.,4,100/100/101/101,Destroy
